NAME,B19013_001E,state,county,county subdivision
"Newhall CCD, Los Angeles County, California",102716,06,037,92110
"Palos Verdes CCD, Los Angeles County, California",117750,06,037,92360
"Downey-Norwalk CCD, Los Angeles County, California",70795,06,037,90730
"Whittier CCD, Los Angeles County, California",76938,06,037,93730
"South Gate-East Los Angeles CCD, Los Angeles County, California",46492,06,037,93155
"Agoura Hills-Malibu CCD, Los Angeles County, California",129616,06,037,90015
"San Fernando Valley CCD, Los Angeles County, California",71543,06,037,92785
"South Bay Cities CCD, Los Angeles County, California",123869,06,037,93100
"North Antelope Valley CCD, Los Angeles County, California",54505,06,037,92140
"Torrance CCD, Los Angeles County, California",93492,06,037,93380
"Upper San Gabriel Valley CCD, Los Angeles County, California",67881,06,037,93510
"Long Beach-Lakewood CCD, Los Angeles County, California",66780,06,037,91730
"Los Angeles CCD, Los Angeles County, California",59080,06,037,91750
"Compton CCD, Los Angeles County, California",61936,06,037,90560
"East San Gabriel Valley CCD, Los Angeles County, California",77767,06,037,90810
"South Antelope Valley CCD, Los Angeles County, California",66779,06,037,93090
"Inglewood CCD, Los Angeles County, California",55184,06,037,91400
"Southwest San Gabriel Valley CCD, Los Angeles County, California",60912,06,037,93200
"Pasadena CCD, Los Angeles County, California",95973,06,037,92400
"Santa Monica CCD, Los Angeles County, California",96570,06,037,92920
