NAME,B19013_001E,B23025_003E,B23025_005E,B15003_022E,state,county,county subdivision
"Agoura Hills-Malibu CCD, Los Angeles County, California",157333,30594,2093,15573,06,037,90015
"Compton CCD, Los Angeles County, California",77931,165822,13260,29818,06,037,90560
"Downey-Norwalk CCD, Los Angeles County, California",84976,210524,13089,49877,06,037,90730
"East San Gabriel Valley CCD, Los Angeles County, California",91440,481099,29949,126953,06,037,90810
"Inglewood CCD, Los Angeles County, California",70593,198344,14600,39929,06,037,91400
"Long Beach-Lakewood CCD, Los Angeles County, California",83431,311043,19804,86339,06,037,91730
"Los Angeles CCD, Los Angeles County, California",73626,1405660,110592,448312,06,037,91750
"Newhall CCD, Los Angeles County, California",119825,137946,8277,47060,06,037,92110
"North Antelope Valley CCD, Los Angeles County, California",71045,83029,6280,15490,06,037,92140
"Palos Verdes CCD, Los Angeles County, California",148246,43535,1941,22932,06,037,92360
"Pasadena CCD, Los Angeles County, California",113711,144886,7839,60330,06,037,92400
"San Fernando Valley CCD, Los Angeles County, California",85802,995786,74602,318110,06,037,92785
"Santa Monica CCD, Los Angeles County, California",106797,53579,3326,28220,06,037,92920
"South Antelope Valley CCD, Los Angeles County, California",82697,101261,6961,17490,06,037,93090
"South Bay Cities CCD, Los Angeles County, California",148721,78819,3769,42942,06,037,93100
"South Gate-East Los Angeles CCD, Los Angeles County, California",59962,233477,17926,21735,06,037,93155
"Southwest San Gabriel Valley CCD, Los Angeles County, California",77771,161300,9769,50816,06,037,93200
"Torrance CCD, Los Angeles County, California",109554,76094,4045,36520,06,037,93380
"Upper San Gabriel Valley CCD, Los Angeles County, California",83928,161339,9718,48491,06,037,93510
"Whittier CCD, Los Angeles County, California",91856,161027,7704,35485,06,037,93730
